browseros-ai/BrowserOS	13259	🌐 The open-source Agentic browser; alternative to ChatGPT Atlas, Perplexity Comet, Dia.
nearai/ironclaw	12604	IronClaw is an Agent OS focused on privacy, security and extensibility
EverMind-AI/EverOS	12213	One portable memory layer for every AI agent: local-first, Markdown-native, user-owned, and self-evolving across apps, tools, and workflows.
MemTensor/MemOS	10811	Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings and DeepSeek Harness support.
faisalman/ua-parser-js	10178	UAParser.js - The Essential Web Development Tool for User-Agent Detection. Detect Browsers, OS, Devices, Bots, Apps, AI Crawlers, and more. Run in Browser (client-side) or Node.js (server-side).
holaboss-ai/holaOS	10175	Open-source All in One AI agent workspace. Run any agent — Claude Code, Codex — across your tools (100+ integrations + MCP), apps, browser, and files, with shared memory. Built-in models or BYOK.
cloudflare/cloudflare-os	8622	Agent workspace built on Cloudflare Workers for creating documents, building apps, and running agents with your company’s context and systems.
osaurus-ai/osaurus	7643	Own your AI. The native macOS harness for AI agents -- any model, persistent memory, autonomous execution, cryptographic identity. Built in Swift. Fully offline. Open source.
craft-ai-agents/craft-agents-oss	7082	
Giskard-AI/giskard-oss	5758	🐢 Open-Source Evaluation & Testing library for LLM Agents
memovai/mimiclaw	5709	MimiClaw: Harness on a $5 chip. No OS(Linux). No Node.js. No Mac mini. No Raspberry Pi. No VPS. Hardware agents OS.
Q00/ouroboros	5581	Agent OS: the agent gets smarter on its own. We just hold the line: the grading command and expected result never make it into the success contract we hand it. Interview-gated, staged evaluation, budgeted evolution loop. MCP server, 13 runtimes: Claude Code, Codex CLI, Gemini CLI, OpenCode, Copilot, Kiro and more.
agentscope-ai/AgentTeams	5443	An open-source Collaborative Multi-Agent OS for transparent, human-in-the-loop task coordination via Matrix rooms.
buildermethods/agent-os	5303	Agent OS is a system for injecting your codebase standards and writing better specs for spec-driven development.
beclab/Olares	5230	Open-Source Personal Cloud OS for Always-On Agents
tutti-os/tutti	3311	Where people and agents build in tune.
xlang-ai/OSWorld	3099	[NeurIPS 2024] OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments
lioensky/VCPToolBox	2257	VCP 部署在 AI 模型 API 与前端应用之间，是面向AGI OS开发和探索的工业级基建示范项目。通过统一指令协议、多层级持久化记忆、分布式插件引擎及多 Agent 协作框架，将原本“无状态、无记忆、无工具调用能力”的大语言模型，彻底改造成拥有永久自我意识、物理世界操作权及群体协作智能的完整智能体系统。
olaxbt/ai-market-maker	2056	Agentic AI Hedge Fund OS (AIMM)
browser-use/macOS-use	1971	Make Mac apps accessible for AI agents
OS-Copilot/OS-Copilot	1796	An self-improving embodied conversational agent seamlessly integrated into the operating system to automate our daily tasks. 
PhyAgentOS/PhyAgentOS-core	1735	PhyAgentOS is a self-evolving embodied AI operating system built on agentic workflows.
tinyfish-io/bigset-oss	1676	Open-source BigSet — self-hostable live datasets populated by TinyFish web agents
ghostwright/ghost-os	1640	Full computer-use for AI agents. Self-learning workflows. Native macOS. No screenshots required.
BAI-LAB/MemoryOS	1556	[EMNLP 2025 Oral] MemoryOS is designed to provide a memory operating system for personalized AI agents.
OpenOSINT/OpenOSINT	1429	AI-powered OSINT agent with interactive REPL, MCP server, and CLI. 19 tools. Works with Claude, GPT-4, or local models. For authorized security research only.
ClaudioDrews/memory-os	1330	A 7-layer memory operating system for Hermes Agent — persistent memory with Qdrant, structured facts, fabric recall, auto-curated wiki, and surgical context injection. Runs locally, any LLM provider.
agentlas-ai/Agentlas-OS	1159	Agent OS: keep specialist agents in a hub, spin up a temporary orchestrator per task. Local-first, works with any model.
Ryandonofrio3/osgrep	1139	Open Source Semantic Search for your AI Agent
akitaonrails/ai-jail	1103	Multi-OS sandbox to run AI agents with better constraints (it is not 100% secure, but enough)
Fullive-AI/Anima	1038	Make Every Hardware Intelligent — an open-source Agent OS for hardware intelligence
lahfir/agent-desktop	1019	Native desktop automation CLI for AI agents. Control any application through OS accessibility trees with structured JSON output and deterministic element refs.
