FerroxLabs/agents-md	657	Drop-in AGENTS.md that makes every coding agent behave like a senior engineer instead of an eager intern. Kills sycophancy, stops drive-by refactors, forces verification loops. Synthesizes Karpathy's four principles and Boris Cherny's Claude Code workflow. Works with Claude Code, Codex, Gemini CLI, Cursor, and the open standard.
ianho7/ai-friendly-web-design-skill	71	A skill for coding agents that build, review, and refactor Web UI that should be easier for humans, screen readers, browser automation, Playwright tests, and AI agents to understand and operate.
Filip-Podstavec/claude-leverage	68	Make any repo AI-first - write sustainable code from the start, or refactor a legacy codebase to prepare it for agent-driven development.Building blocks for Claude Code: subagents, slash commands, hooks, and workflow patterns. Copy what you need. A working developer's stack for Claude Code.
zuharz/ccode-to-codex	66	Migrate Claude Code skills and Agents to Open AI Codex native skills and agents. Semantic mapping preserves original behavior, classifies migration risk (MECHANICAL / MANUAL / REFACTOR), validates structure, and tracks progress end-to-end. No manual rewrite required. Keep what you built. Run it in Codex CLI. Experimental.
k-kolomeitsev/data-structure-protocol	65	Graph-based long-term memory skill for AI (LLM) coding agents — faster context, fewer tokens, safer refactors
zhangliang605/carrycode	44	CarryCode is a terminal-native AI coding agent that helps you write, refactor, debug, and understand code — all through natural conversation. It connects to 17+ LLM providers, supports the MCP protocol for extensibility, and delivers a beautiful terminal UI with themes, syntax highlighting, and code diff previews.
lucaGazzola/forgeo	36	A scheduled, agent-driven software factory. Keep a plain JSON backlog; Forgeo runs your coding agent (Claude Code, Codex, opencode) on each task and commits to main. Refactors when idle. No branches, no PRs.
kingbootoshi/rgr	23	Strict Red-Green-Refactor CLI gate for coding agents
haibindev/repo-scan	22	Agent Skill: Architecture-level cross-stack source code asset scanner. Know what you have before you refactor. | 架构级跨技术栈源码资产扫描工具
upupmake/MakeCode	21	MakeCode is an intelligent coding agent designed to accelerate your development workflow. Unlike traditional editors, MakeCode understands context, generates boilerplate code instantly, and refactors logic on the fly. Built for developers who want to code faster, smarter, and with fewer errors.
ColinVaughn/Synaptic	21	Auditable code intelligence for AI agents - map dependencies, predict change impact, select the right tests, and verify refactors before they ship.
