SWE-agent/SWE-agent	20079	SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] 
SWE-agent/mini-swe-agent	6617	The 100 line AI agent that solves GitHub issues or helps you in your command line. Radically simple, no huge configs, no giant monorepo—but scores >74% on SWE-bench verified!
microsoft/Webwright	5930	A simple SWE style browser agent framework that achieves SOTA results on long horizon web tasks. 
china-qijizhifeng/agentic-harness-engineering	838	Official AHE code — Agentic Harness Engineering: observability-driven automatic evolution of coding-agent harnesses (concurrent w/ meta-harness). NexAU-AHE reaches 84.7% ± 2.1 pass@1 on Terminal-Bench 2 (GPT-5.5). Lifts GPT-5.4 69.7→77.0% over 10 iters, beats Codex/ACE/Training-Free GRPO; frozen harness transfers to SWE-bench-Verified.
SWE-bench/SWE-smith	746	[NeurIPS 2025 D&B Spotlight] Scaling Data for SWE-agents
SWE-Gym/SWE-Gym	722	Code for Paper: Training Software Engineering Agents and Verifiers with SWE-Gym [ICML 2025]
SWE-agent/SWE-ReX	576	Sandboxed code execution for AI agents, locally or on the cloud. Massively parallel, easy to extend. Powering SWE-agent and more. 
scaleapi/SWE-bench_Pro-os	506	SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?
lidangzzz/AI-Coding-Style-Guides	495	A set of coding style guidelines for Vibe Coding or SWE-Agents that maximize efficiency and improve human readability.
OpenAutoCoder/live-swe-agent	452	Live-SWE-agent: live, runtime self-evolving software engineering agent
jd-opensource/joycode-agent	341	Repository-level Repair Agent Based on SWE-Bench—JoyCode Agent
R2E-Gym/R2E-Gym	321	[COLM 2025] Official repository for R2E-Gym: Procedural Environment Generation and Hybrid Verifiers for Scaling Open-Weights SWE Agents
aavetis/PRarena	299	This repo tracks the opened and merged PRs by the top SWE coding agents by OpenAI, GitHub, and others. Updates regularly.
JARVIS-Xs/SE-Agent	286	SE-Agent is a self-evolution framework for LLM Code agents. It enables trajectory-level evolution to exchange information across reasoning paths via Revision, Recombination, and Refinement, expanding the search space and escaping local optima. On SWE-bench Verified, it achieves SOTA performance
aws-samples/remote-swe-agents	241	Autonomous SWE agent working in the cloud!
yashdev9274/supercli	192	The open source SWE agent
SKYLENAGE-AI/SWE-CI	175	SWE-CI: Evaluating Agent Capabilities in Maintaining Codebases via Continuous Integration
hwfengcs/DM-Code-Agent	151	Local-first, auditable Python code agent. Ships its own 30-task hidden-test benchmark plus SWE-bench Verified scored by the official harness -- every number reproducible, negative results included.
OpenHands/ToM-SWE	119	The theory of mind module for the SWE agent
AMD-AGI/AgentKernelArena	112	AgentKernelArena provides an end-to-end siloed-benchmarking environment where different LLM-powered agents—such as Cursor Agent, Claude Code, Codex, SWE-agent, and GEAK—can be evaluated side-by-side on the same GPU kernel tasks, using objective and reproducible metrics.
giraffe-tree/agent-base	102	Agent Base is a source-level research project on coding agents. It compares Codex CLI, OpenCode, Gemini CLI, Kimi CLI, and SWE-agent across agent loops, tools, MCP integration, context/memory handling, UI flows, web architecture, and safety controls.
opensquilla/claw-swe-bench	93	Unified adapter framework for evaluating agent harnesses (claws) on SWE-bench
gso-bench/gso	90	[NeurIPS '25] GSO: Challenging Software Optimization Tasks for Evaluating SWE-Agents
amazon-science/SWE-PolyBench	88	SWE-PolyBench: A multi-language benchmark for repository level evaluation of coding agents
THUDM/SWE-Dev	65	[ACL25' Findings] SWE-Dev is an SWE agent with a scalable test case construction pipeline.
shoyann/thrush-swe-agent	63	Thrush is a SWE agent: it reads, reasons, and chambers code changes for you
Togetherbench/SWE-Together	56	SWE-Together: Evaluating Coding Agents in Interactive User Sessions
respawn-llc/kent	55	Agentic Coding platform for Professional SWE work focusing on output quality. Self-review, supervision, dynamic workflows, dynamic agent loops.
xianyu-sheng/Xenon	54	开源终端 AI 编程 Agent：以在线 Evidence Runtime 验证链（LLM 输出是 Claim、工具结果才是 Evidence）为核心。SWE-bench_Lite 官方评测 40.0% 实例级通过率（同模型 A/B +6.7pp，可复现报告）。7 种推理范式、MCP 工具、落盘补救与验证闭环。Python。
XLearning-SCU/Active-SWE	51	Pytorch Implementation of Active-SWE: Benchmarking Coding Agents for Proactive Bug Fixing without Issue Reports
CUHK-Shenzhen-SE/UTBoost	36	 [ACL'25] UTBoost: Rigorous Evaluation of Coding Agents on SWE-Bench
YerbaPage/SWE-Debate	33	SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution [ICSE 2026]
SALT-NLP/SWE-chat	32	SWE-chat: Coding Agent Interactions From Real Users in the Wild
HumphreySun98/repoagentbench	28	SWE-bench for your codebase — mine your merged PRs into local, contamination-free coding-agent benchmarks. Adapters: claude-code, aider (Opus 4.7 / GPT-5.5 / Sonnet 4.6 / Gemini 3.1 Pro).
scaleapi/SWE-Interact	24	New testbed of interactive SWE tasks for coding agents, set in a realistic multi-turn developer driven environment
SWE-agent/minimal-agent-tutorial	22	Tutorial on how to build a minimal software engineering agent that still scores high on SWE-bench verified
MLSysOps/Code-Agent-Survey	22	A survey of Code Agents / Foundation Models for improving development productivity. Become 10x SWE, MLE, etc.
