coleam00/Archon	23231	The first open-source harness builder for AI coding. Make AI coding deterministic and repeatable.
datawhalechina/easy-vibe	19006	💻  vibe coding 101｜The first course for AI-native product builders.
refly-ai/refly	7490	The first open-source agent skills builder. Define skills by vibe workflow, run on Claude Code, Cursor, Codex & more. Build Clawdbot 🦞· APIs for Lovable · Bots for Slack & Lark/Feishu · Skills are infrastructure, not prompts.
dontriskit/awesome-ai-system-prompts	6154	🧠 Curated collection of system prompts for top AI tools. Perfect for AI agent builders and prompt engineers. Incuding: ChatGPT, Claude, Perplexity, Manus, Claude-Code, Loveable, v0, Grok, same new, windsurf, notion, and MetaAI. 
MengTo/Skills	5076	Agent skills for designers and builders using Codex, Claude, Cursor, and other AI coding agents
anymorph-ai/Claudable	4046	Claudable is an open-source web builder that leverages local CLI agents, such as Claude Code, Codex, Gemini CLI, Qwen Code, and Cursor Agent, to build and deploy products effortlessly.
microsoft/PowerApps-Samples	1972	Sample code for Power Apps, including Dataverse, model-driven apps, canvas apps, Power Apps component framework, portals, and AI Builder.
inkeep/agents	1377	Create AI Agents in a No-Code Visual Builder or TypeScript SDK with full 2-way sync. For shipping AI assistants and multi-agent AI workflows.
withkynam/vibecode-pro-max-kit	1081	Your AI forgets. This remembers. Spec-driven coding harness for vibecoders, product owners, CEOs and real builders — self-improving context memory, 15 agents, 33 skills working with /goal, agent-team, & workflow on autopilot loops with 0 need for human gate. Kills context rot, ships features, not spaghetti. Claude Code & Codex. Any stack
russelleNVy/three-man-team	944	A structured 3-agent AI dev team — Architect, Builder, Reviewer. Built from production use. Token-optimized. Works with Claude Code, VS Code, Cursor, and any AI that supports context files.
swarmclawai/swarmvault	661	The local-first LLM Wiki: open-source knowledge graph builder, RAG knowledge base, and agent memory store. Built on Andrej Karpathy's pattern. An Obsidian alternative for personal knowledge management, AI second brain, and durable Claude Code / Codex / OpenClaw memory.
buildship-ai/buildship	602	Low-code Visual Backend Builder, powered by AI ✨ Create APIs, scheduled jobs, backend tasks, database CRUD, and integrate with any tool or APIs.
biaogebusy/web-builder	578	AI 驱动 UI 生成和发布的低代码平台，基于TailwindCss，通过拖拽可视化快速构建现代化响应式UI、动态自定义组件、多主题、多语言的网站应用。AI-powered UI generation and publishing low code platform, built on TailwindCSS, enabling rapid drag-and-drop visual creation of modern responsive UIs, dynamic customizable components, multi-theme, and multi-language web applications.
flowagi-eu/nyno	441	Nyno is a Commercial-Friendly EU-AI Workflow Builder & Engine. https://nyno.dev | Create and Run Workflows without Commercial Limits. Async. Multi-Process. Postgres database. Short for "nine" / "yaml" / "no-code" / "automation". 
Hainrixz/open-carrusel	432	AI-powered Instagram carousel builder. Chat with Claude to design slides; export as PNGs at exact Instagram dimensions. Type /start in Claude Code to bootstrap.
SmythOS/smythos-studio	292	SmythOS Studio: Open-Source Visual AI Agent Builder and deployable runtime stack from SmythOS. Start with an intuitive drag-and-drop workspace, extend with custom code, and deploy your agents anywhere — local, cloud, or edge — with full governance and control.
blackboardsh/colab	203	Co(lab) is a hybrid web browser + local code editor with integrated PTY Terminal and AI designed for startup builders who need to move fast.
Ratna-Babu/Ai-Website-Builder	195	Instantly create beautiful, responsive websites with AI. This AI-powered website builder transforms natural language prompts into fully functional React components using Next.js, Tailwind CSS, and Gemini AI. Features real-time collaboration with Convex backend, theme customization, and export-ready code.
imraywang/rayskills	151	面向 AI Builder 的实战 Skill 工具箱：10 个可执行、可验证、可恢复的工作流，/ray 路由 + 内容生产管线直达公众号与 X Articles 草稿箱，支持 Claude Code、Codex 与 WorkBuddy。
sa4hnd/vibra-code	120	Open-Source AI App Builder for Mobile — Build apps with AI like vibecodeapp, rork, lovable & bolt.new but fully open source. Describe what you want → AI builds it → Preview on your phone. Built with Claude Code, Expo, React Native, Convex, E2B.
P1pp89/ha-ai-automation-builder	106	Home Assistant package that generates yaml code for your automations using AI.
AndyY-Q/launchkit-ai	105	Open-source AI app builder for turning prompts into runnable web apps with sandboxed coding agents.
AgriciDaniel/claude-prompts	103	AI prompt database and builder skill for Claude Code. 2,500+ curated prompts across 19 categories and 17 AI models.
solanabr/solana-ai-kit	97	Claude Code / Codex / AI configs for the expert Solana builder. CLAUDE.md, agents, commands, hooks, rules, skills and settings across Web, Anchor, Pinnochio, Unity, Mobile, security and more.
ChristopherKahler/base-v1	93	AI builder operating system. Turn Claude Code from a per-session tool into a workspace that remembers, maintains itself, and never goes stale. BASE = Builder's Automated State Engine.
FMXExpress/CodeDroidAI	90	Generate code and forms with AI for Delphi Object Pascal and C++Builder using LLMs like ChatGPT and Vicuna-13b.
Feloguarin/ai-fluency	83	AI Fluency — see how you actually build with AI. A fluency score, builder archetype, and 4-competency skill map from your local Claude Code transcripts. 100% local, privacy-first.
block/builderbot	79	Incubating experimental AI projects to operate millions of lines of code
thedesignproject/agent-skills	79	A community-driven collection of skills, prompts, and workflows to help builders get the most out of Claude Code and other AI agents.
builtbyV/ai-website-builder	76	Build beautiful websites by talking to AI - no coding required! Vibe coding with Claude Code, Gemini CLI, and OpenAI Codex CLI. Perfect for small businesses, freelancers, and anyone who wants a website without learning to code.
jananthan30/Resume-Builder	73	AI-powered resume & cover letter generator with dual ATS + HR scoring. Works for any profession. Claude Code plugin.
ShawhinT/AI-Builders-Bootcamp-1	72	Code repository for AI Builders Bootcamp #1
Neopric-Inc/NeoApps.AI-CodeGenerator	69	World's first no-code low-code app builder focuses on a data-first approach, allowing users to create applications from scratch. The code generator builds a drag-and-drop React application along with a .NET Core API and a MySQL database.
LeadGrowGTM/research-process-builder	66	Build validated web research processes through self-annealing loops. 138 patterns tested, 90%+ accuracy. Works with Claude Code, Clay, any AI agent.
smogili1/circuit	64	Drag-and-drop agent workflow builder for orchestrating AI agents. Build multi-step pipelines to run Claude Code and OpenAI Codex, featuring real-time streaming, reference interpolation, and flexible control flow.
joylarkin/AI-Coding-Landscape	61	AI coding models, agents, CLIs, IDEs, AI app builders, open source tooling, benchmarks
zanecole10/presentation-builder	60	AI-powered presentation creation system using Claude Code to transform scripts into beautiful HTML presentations
wshuyi/zettel-builder	58	Bottom-up Zettelkasten card-note skill for AI agent harnesses (Claude Code / OpenClaw / Codex / Hermes). Materials → atomic cards → voice realignment → auto-linking → article-ready cluster inspection.
suntay44/buildable-plugin-skills	53	Local-first AI app-builder brain for Claude Code, Codex, and Cursor: archetypes, golden templates, UI/UX playbooks, and review loops, designed to load less bundled context in evals.
fivetaku/kkirikkiri	51	Natural language team builder for Claude Code Agent Teams — create purpose-driven AI teams with a single sentence
ShawhinT/AI-Builders-Bootcamp-2	48	Code repository for AI Builders Bootcamp #2
KevinYoung-Kw/vibe-resume-skill	48	AI 简历生成与排版 Skill｜12 套可投递 HTML/PDF 模板。AI resume builder for creating, updating and tailoring resumes to any JD via Codex, Claude Code, Cursor & Trae.
aws-samples/sample-agent-skills-for-builders	43	A curated collection of ready-to-use agent skills covering AWS development, security scanning, testing, and AI coding workflows.
chatbotkit/example-nextjs-ai-forms	43	This repository contains the code for an AI form builder. Built with the ChatBotKit SDK, this example showcases how to render UI components inside an AI conversation.
OrusMind/Orus-Builder-FullStack	41	Transform your ideas into production-ready applications using AI with CIG Protocol 2.0 (zero compilation errors). Backend + Frontend generation with optimized components, Trinity AI cognitive engine, and 99.9% code accuracy. Enterprise-ready platform.
keysersoose/claude-agent-builder	41	Build production-ready AI agents in Claude Code from natural language. Analyzes your problem, researches best practices, and generates subagents, skills, hooks, commands & MCP configs.
camunity/ai_resume_builder	40	Code from a workshop I led - who know's what it could be with your support.
Corbell-AI/evalmonkey	40	CLI for agent builders to benchmark & chaos test your AI Agents. Text, Voice, Code supported.
HamzaAmir97/saas_ai_website_builder	39	Codey is an  AI Website Builder and AI-powered platform that lets users create and preview full websites just by chatting with an assistant. It supports multi-model AI code generation, sandboxed previews using Docker, and user authentication + billing via Clerk.
roadhero/claude-code-setup	33	My actual Claude Code setup: a stack-agnostic engineering spine, auto-activating rule packs, 50 scoped subagents across web/Android/iOS/compute, safety hooks, and a repo scaffolder. From the book "42: The AI Builder's Stack."
