a9gent/mindfs	1687	Access your personal AI agents and workstation data anywhere, anytime through MindFS.
Team-Commonly/commonly	1309	Open-source room for humans + cross-vendor AI agents. Every agent gets its own name, memory, skills, and workstation. Any runtime, your infra — no per-agent fees.
milisp/codexia	892	Lightweight Agent Workstation for Codex CLI + Claude Code — with task scheduler, git worktree & remote control
Haervwe/open-webui-tools	794	Open‑WebUI Tools is a modular toolkit designed to extend and enrich your Open WebUI instance, turning it into a powerful AI workstation. With a suite of over 15 specialized tools, function pipelines, and filters, this project supports academic research, agentic autonomy, multimodal creativity, workflows, and more
puppetlabs/bolt	556	Bolt is an open source orchestration tool that automates the manual work it takes to maintain your infrastructure on an as-needed basis or as part of a greater orchestration workflow. It can be installed on your local workstation and connects directly to remote nodes with SSH or WinRM, so you are not required to install any agent software.
DevCoreXOfficial/core-termux	399	Turn Termux into a complete development workstation with AI coding agents, a modern code editor, databases, automation, and developer tools.
backbay-labs/clawdstrike	286	AI EDR for developer workstations and autonomous agent fleets. Build Swarm Detection & Response platforms with Clawdstrike.
clawbench-dev/clawbench	190	Mobile-first AI workstation — full integration of mainstream AI agents on phone & tablet. Single binary, zero dependencies, one-click deploy.
guaardvark/guaardvark	154	The self-hosted AI workstation. Autonomous screen agents, 3-tier neural routing, parallel agent swarms, video generation, 4K/8K upscaling, RAG, voice interface, 70+ tool execution engine — all running locally on your hardware.
AbuZar-Ansarii/OpenClaw-Ollama	69	OpenClaw with Ollama is a lightweight, high-performance integration designed to run sophisticated AI agents locally on Android devices. By leveraging the power of Termux and the flexibility of Ollama, this project enables a completely private, free, and offline-capable AI workstation in your pocket. 
deepfounder-ai/castor	63	A self-hosted AI agent built to drop into business workflows: customer ops, internal automation, knowledge retrieval, scheduled reporting. Deploys on a laptop, a workstation, or your own server — never sends data to a third party unless you tell it to. 
CoderLuii/HolyCode	61	AI coding workstation: OpenCode + Claude subscription support + 30+ tools + headless browser + multi-agent orchestration
mooncitydev/asterdex-hl-trading-bot	56	 A Bun-powered trading workstation for Aster and Hyperliquid perpetual contracts that ships two production-ready agents: an SMA30 trend follower and a dual-sided market maker. The CLI is built with Ink, synchronises risk state from the exchange, and automatically recovers from restarts or disconnects.
jesson-hh/financial-analyst	50	觀瀾 · A-share research workstation with 24 AI sub-agents — one command, deep-dive report in ~10 min.
lukanlabs/lukan	35	AI workstation that codes, manages emails and calendar, automates tasks, browses the web, orchestrates multi-agent pipelines, and connects to WhatsApp, Slack, Discord & Telegram. Built in Rust.
sonicfieldlabs/oram	30	Real-time agentic looper and generative-performance workstation for macOS.
