name	url	description
CodeBuddy	https://www.codebuddy.cn/	Tencent Cloud's AI coding assistant powered by Hunyuan/DeepSeek models. Supports 200+ languages and mainstream IDEs. Available as IDE, plugin, and CLI. 120ms response latency (fastest in 2026 benchmarks). Supports MCP protocol. Used by 85%+ of Tencent internal developers. Free personal version; standard version ~99/month.
DevEco CodeGenie	https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/ide-codegenie	Huawei's AI-assisted programming tool built into DevEco Studio for HarmonyOS app development. Powered by Pangu large model. Supports ArkTS code generation, code completion, bug fixing, UI/page generation, universal card generation, and unit test generation. Nine core capabilities covering UI layout, logic development, and problem analysis. First AI tool for HarmonyOS native apps.
Tongyi Lingma	https://lingma.aliyun.com/	Alibaba Cloud's enterprise-grade AI coding assistant powered by Qwen models. IDE plugin for VS Code and JetBrains. Offers Ask mode (code Q&A, single-file editing) and Agent mode (multi-file collaborative editing). Deep integration with Alibaba Cloud SDKs. Enterprise version ~79/user/month; private deployment available. Strong Chinese language support. One of highest-installed AI coding tools among Chinese developers.
Qwen Code	https://github.com/QwenLM/qwen-code	Alibaba's open-source terminal coding agent from the Qwen team. Repository editing, shell tools, MCP support, and headless operation. Already in main dataset.
Qoder CN	https://www.aliyun.com/product/qoder	Alibaba's intelligent agent programming platform for real-world software development. Features NEXT, Agentic Chat, Quest, and RepoWiki. Supports assisted, collaborative, and autonomous programming. Available as IDE, JetBrains/VS Code plugins, and CLI.
Iflow-Cli	Alibaba (no direct URL found)	Alibaba's free terminal-based development tool. Supports all top Chinese coding models including Qwen, DeepSeek, GLM4.6, and Kimi2. Can be used as a VSCode plugin.
ERNIE Comate	https://comate.baidu.com/	Baidu's AI coding assistant powered by ERNIE (Wenxin) large model. Supports 100+ languages and 10+ IDEs. 92% project understanding accuracy in benchmarks. Features multimodal input (screenshot-to-code), multi-Agent collaboration, F2C (design-to-code). Best in Python, C++, and Java. Enterprise version ~799/person/year. Free personal standard version.
Trae	https://www.trae.cn/	ByteDance's AI-native IDE (first domestic AI-native IDE). Built on VS Code architecture. Free alternative to Cursor. Three modes: Chat, Builder, and SOLO (autonomous analysis/coding/testing/deployment). Supports Claude 3.5/3.7 Sonnet, DeepSeek R1/V3, GPT-4o. Monthly active users exceeded 1.6 million. Free with monthly limits; Pro plan ~$3-10/month.
Trae Agent	https://github.com/bytedance/trae-agent	ByteDance's open-source software engineering agent for repository analysis, code editing, command execution, and benchmark tasks. Already in main dataset.
MarsCode	https://www.marscode.com/	ByteDance's lightweight AI coding plugin (also known as Douba MarsCode). Available as VS Code plugin and browser-based Cloud IDE. Powered by Doubao model. Supports 100+ languages. Code completion, project Q&A, unit test generation, bug fixing. Free to use. Being integrated into Trae desktop IDE.
Doubao-Seed-Code	ByteDance (no direct URL found)	ByteDance's programming model focusing on long context and visual understanding (image/design draft to code). One of the five top domestic tools in 2026 Q2 benchmarks. Requires pairing with an IDE or CLI for complete workflow.
iFlyCode	https://www.xfyun.cn/solutions/iflycode	iFlytek's AI coding assistant powered by Spark cognitive large model. Code generation, completion, explanation, bug detection, SQL generation/optimization, unit test writing. Compatible with VS Code and IntelliJ IDEA. Free to use. Already in main dataset.
iFLYTEK Spark Coding Plan	https://python4office.cn/ads/xunfei/20260422-iflytek-spark-coding-plan-intro/	iFlytek's coding plan featuring unique voice interaction for programming. Write code using voice commands and receive spoken results. Aimed at Chinese code generation and hands-free coding.
Spark D2C Agent	https://iflycode-d2c.iflytek.com/	iFlytek's AI agent enabling efficient product design from concept to implementation (design-to-code).
