batch	source	row	slug	name	category	confidence	evidence
first-100	agents	1	claw-code	Claw Code	harness	high	Clean-room Claude Code-style coding agent.
first-100	agents	2	deerflow	DeerFlow	harness	high	Long-horizon coding harness with terminal workbench and sandboxed workspaces.
first-100	agents	3	metagpt	MetaGPT	harness	high	Multi-agent software company loop that returns PRD, design, tasks, or repo.
first-100	agents	4	claude-flow	claude-flow	multiplexer	high	Deploys and coordinates multi-agent swarms rather than being a single coding loop.
first-100	agents	5	openspec	OpenSpec	tool	high	Spec-driven development aid for AI coding assistants.
first-100	agents	6	autogen	AutoGen	tool	high	General LLM multi-agent application framework.
first-100	agents	7	crewai	CrewAI	tool	high	General role-playing agent orchestration framework.
first-100	agents	8	gpt-engineer	GPT Engineer	harness	high	Generates complete codebases from a prompt.
first-100	agents	9	bmad-method	BMAD-METHOD	tool	high	Guided workflow framework; does not own the coding-agent loop.
first-100	agents	10	orca	Orca	multiplexer	high	Fleet workspace for running parallel coding agents.
first-100	agents	11	oh-my-claudecode	oh-my-claudecode	multiplexer	high	Teams-first orchestration layer for Claude Code.
first-100	agents	12	chatdev	ChatDev	harness	high	Virtual software company of agents that designs, codes, tests, and documents.
first-100	agents	13	ai-website-cloner-template	ai-website-cloner-template	tool	medium	Template/workflow that uses AI coding agents to clone sites.
first-100	agents	14	agentscope	AgentScope	tool	high	Framework for building LLM-powered multi-agent applications.
first-100	agents	15	cmux	cmux	multiplexer	high	Terminal environment built to run and monitor multiple coding agents.
first-100	agents	16	roo-code-cli	Roo Code CLI	harness	high	Multi-mode CLI/IDE coding agent.
first-100	agents	17	agentsmd	agents.md	tool	high	Configuration format for guiding coding agents.
first-100	agents	18	archon	Archon	tool	high	Harness builder and repeatability layer for AI coding.
first-100	agents	19	opcode	opcode	multiplexer	high	GUI/toolkit for managing Claude Code sessions and background agents.
first-100	agents	20	ralph	ralph	harness	high	Autonomous AI coding loop that repeats until PRD items are complete.
first-100	agents	21	coze-studio	coze-studio	something-else	medium	General AI agent development platform, not specifically a coding-agent harness.
first-100	agents	22	video-use	video-use	tool	medium	Video-editing helper intended to be used with coding agents.
first-100	agents	23	opencodereview	OpenCodeReview	tool	high	Code review CLI for scans and diffs.
first-100	agents	24	hindsight	Hindsight	tool	high	Memory layer for agents.
first-100	agents	25	agency-agents-zh	agency-agents-zh	tool	high	Persona library and companion orchestration assets for existing agent tools.
first-100	agents	26	sealos	sealos	tool	medium	Deployment and operations platform for projects produced by coding agents.
first-100	agents	27	langchain-js-tools	LangChain JS Tools	tool	high	General LangChain tool/library package.
first-100	agents	28	gastown	gastown	multiplexer	high	Multi-agent orchestration with persistent work tracking.
first-100	agents	29	prime-agent	Prime Agent	harness	high	Self-improving coding agent with persistent execution kernel.
first-100	agents	30	qwen-agent	Qwen-Agent	tool	high	General Qwen agent framework and application toolkit.
first-100	agents	31	dagger	Dagger	tool	high	Containerized pipelines-as-code tool.
first-100	agents	32	openwiki	OpenWiki	tool	high	Documentation/wiki agent for codebase memory rather than a coding harness.
first-100	agents	33	gitingest	GitIngest	tool	high	Prepares repositories for LLM context windows.
first-100	agents	34	pentestgpt	Pentestgpt	tool	medium	Penetration-testing assistant, not a software-writing harness.
first-100	agents	35	aperant	Aperant	harness	medium	Autonomous multi-session AI coding.
first-100	agents	36	paseo	Paseo	multiplexer	high	Orchestrates multiple coding agents across desktop and mobile.
first-100	agents	37	context-hub	context-hub	tool	high	Context-management tool for agent workflows.
first-100	agents	38	context-engineering-intro	context-engineering-intro	something-else	high	Educational/context-engineering repository.
first-100	agents	39	superset	Superset	multiplexer	high	Terminal for orchestrating parallel agent sessions.
first-100	agents	40	insforge	InsForge	tool	high	Backend platform/infrastructure for agentic coding.
first-100	agents	41	pr-agent	PR-Agent	tool	high	PR review, description, and improvement assistant.
first-100	agents	42	learn-coding-agent	learn-coding-agent	something-else	high	Research/learning material about coding agents.
first-100	agents	43	smol-developer	Smol Developer	harness	high	Minimal agent for code generation and iteration.
first-100	agents	44	opencodex	OpenCodex	tool	high	Provider proxy for Codex-compatible APIs.
first-100	agents	45	humanlayer	humanlayer	tool	high	Human approval/workflow layer for AI coding agents.
first-100	agents	46	valuecell	valuecell	something-else	high	Financial multi-agent platform rather than coding-agent harness.
