sickn33/agentic-awesome-skills	45153	AAS Core is the local, agent-first control plane for complete catalog discovery, agent-owned selection, stack validation, and planning, backed by 2,005+ agentic skills. Includes CLI, local MCP, catalog, plugins, and Workbench.
ComposioHQ/composio	29787	Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.
Devin-AXIS/iPolloWork	4286	A next-generation, source-available AI workspace with a self-evolving agent runtime for editable code, design, presentations, websites, and video—a Codex alternative that integrates DeepSeek Harness for subagent delegation, combining iPolloWork’s complete AI workbench with DSH’s specialized agents and both plugin ecosystems in one workflow.
aipoch/open-science	2848	Open-Source AI research workbench with scientific agents for reproducible research and discovery. 
ai4s-research/open-science	1405	Open Science Desktop — local-first, model-agnostic AI research workbench for macOS, Windows & Linux. Open-source Claude Science desktop alternative built on Tauri + MCP + agent skills.
dohooo/helmor	1289	Open-source local workbench for multi-agent software development.
l0ng-ai/tty7	757	A terminal workbench in pure Rust: shells, persistent sessions, SSH, coding agents. GPU-rendered on Zed's gpui, VT core from Alacritty.
datagallery-lab/datafoundry	721	DataFoundry is an open-source AI workbench for data analysis, unifying data sources, knowledge, tools, and agent runtime into a governed workspace for interactive analytics.
yv1ing/Z3r0	626	AI-native red-team workbench for authorized penetration testing and vulnerability research, with specialist agents, sandboxed tooling, evidence records, and replayable timelines.
NoKV-Lab/NoKV	466	Durable agent workspace and ai4s research workbench
u-ichi/reviewable-html-workbench	287	Claude Code / Codex CLI plugin for generating reviewable HTML documents with preview, inline review comments, and agent feedback ingestion.
deeplethe/ontopilot	258	Local-first, agent-assisted document-to-ontology workbench
ryanlab/bivor	206	Bivor — a macOS desktop workbench for the pi coding agent
heyhuynhgiabuu/openpi	202	OpenPi is a desktop workbench for the Pi coding agent.
Ray-Code-Svg/SuperNovaAgent	185	SuperNova is a Windows-first desktop AI Workbench that turns chat into traceable tasks. It combines a Tauri + React Workbench, Rust Product Runtime, typed protocol, and Process Kernel so actions can produce visible artifacts, runtime receipts, replayable evidence, and controlled workspace execution.
biheto/DevAgent-Studio	171	DevAgent Studio is a multi-agent workbench for software project understanding and engineering governance. It helps teams review pull request risks, onboard new developers, understand unfamiliar systems, and continuously identify architecture drift and technical debt.无论是新人接手陌生代码、开发者提交 PR，还是团队进行架构巡检，都可以通过多 Agent 协作生成可追踪、可审核、可沉淀的项目治理结果。
NVIDIA/workbench-example-agentic-rag	166	An NVIDIA AI Workbench example project for an Agentic Retrieval Augmented Generation (RAG) 
sligter/OnePagent	150	One Page Agent.The browser-native workbench that lives in One Page.
prasenjeet-symon/ogcode	136	The token-efficient agentic coding workbench. Built for a future where every token counts — it optimizes token usage at the agent-loop level, saving 70%+ on long sessions, while planning, remembering your codebase, and shipping features in parallel from a single self-hosted binary.
holon-run/holon	133	A local workbench for agents doing continuous work across sessions, commands, human input, and external events.
mannychen0225/Agent-Hive-Workbench	117	Open Source Office Agent & Game Platform Beta 2026
WutIsHummus/TrueDeck	111	Free multi-agent coding workbench: Grok/Codex/Claude/Cursor panes + TrueMemory (per-repo + global)
Ninglo/remotelab	109	AI workbench for super-individuals — orchestrate agents, recover context, and ship agentic-native apps.
233i/ore-code	104	DeepSeek-first desktop coding agent workbench
elpsykongloo/PaperBanana-Pro	95	Production-ready multi-agent academic illustration system with Chinese GUI, background generation, plot workbench, and portable result bundles. Extended from PaperBanana.
EthanYoQ/agent-xiaohongshu-workbench	92	小红书图文内容工作台：用 Codex Agent 完成热点研究、内容拆解、原创文稿、去 AI 味、品牌配图与人工确认发布。
Changan-Su/Forsion	89	Your Best Ai Seconed Brain! An evolvable, local-first AI workbench where agents, knowledge, and everyday work come together.
PriNova/graphone	88	A visual workbench for coding agent orchestration for Windows, Linux & macOS. Chat interface for local & remote LLMs. Built with Tauri 2.x and Svelte 5.
blackzhanzhan/novel_agent	87	Git-native AI novel writing workbench with Dify agents
zawatton/anvil.el	86	An MCP server written in Elisp — a token-efficient workbench for AI agents. Drives files, org-mode, Elisp & SQLite from any MCP client   (Claude, GPT, local LLMs) through Emacs primitives instead of sed/grep round-trips.
Bike4Mind/bike4mind	86	The open-core AI workbench — notebooks, agents, RAG, voice, and images across any model: OpenAI, Anthropic, Google, xAI, or local via Ollama/vLLM. BSL 1.1,  auto-converting to Apache-2.0 on a two-year clock. Your AI keeps running when theirs doesn't.
