name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Devin AI	Cognition AI	Proprietary	https://devin.ai/		Devin is an autonomous AI software engineer that can handle complex multi-repo projects, spin up teams of agents for large tasks, and integrate with GitHub, Linear, Slack, and Datadog to triage issues and ship PRs.	Web (cloud-based)		
Cursor	Anysphere Inc.	Proprietary	https://cursor.com/		Cursor is an AI-powered coding agent that works across desktop, terminal, Slack, and GitHub, enabling developers to delegate tasks to autonomous cloud agents that build, test, and demo features end-to-end. It supports multiple AI models from OpenAI, Anthropic, Gemini, and its own models.	macOS; CLI; Mobile		
Windsurf (Devin Desktop)	Cognition AI	Proprietary	https://windsurf.com/editor		Formerly Windsurf editor, now Devin Desktop is the home for coding agents — manage fleets of local and cloud agents from one surface, plan, delegate, review, and ship without leaving your editor. Includes a full IDE with syntax highlighting, autocomplete, and debugging tools.	macOS		
v0	Vercel	Proprietary	https://v0.dev/		v0 is an AI-powered platform that generates working applications and publishes them as live websites in seconds. It is agentic by default, autonomously planning, creating tasks, and connecting to databases as it builds, with one-click deployment.	Web; iOS		
Bolt.new	StackBlitz	Proprietary	https://bolt.new/		Bolt is an AI-powered platform that allows users to create apps and websites by chatting, automatically routing to the best AI model for each task. It handles large projects with built-in context management and provides enterprise-grade backend infrastructure including databases and hosting.	Web		
GitHub Copilot	GitHub (Microsoft)	Proprietary	https://github.com/features/copilot		GitHub Copilot is the world's most widely adopted AI developer tool, natively built into GitHub rather than existing as a standalone plugin. It provides contextualized AI assistance across the entire software development lifecycle, from inline code completions and chat in the IDE to code explanations on GitHub.com.	GitHub.com; GitHub Mobile; VS Code; Visual Studio; JetBrains IDEs; Neovim; Vim; Azure Data Studio; GitHub CLI; Xcode; Eclipse IDE; Raycast		
Create.xyz	Anything	Proprietary	https://create.xyz/		Create.xyz is a text-to-software platform that turns natural language prompts into fully coded mobile apps, websites, tools, and products. It stands out by offering instant integration with GPT-5 and 40+ other services.	Web		
Leap.new	Encore	Proprietary	https://leap.new/		Leap is an AI developer agent that builds full-stack applications — frontend, backend, logic, and deployment in one place. Powered by Encore, it deploys to your own cloud (AWS/GCP) with built-in PostgreSQL databases and microservices architecture.	Web		
Mocha	Mocha	Proprietary	https://getmocha.com/		Mocha is an AI-powered no-code app builder for entrepreneurs that lets you create real working apps without coding experience. Users own their applications and can publish them directly. (Note: blog post indicates shutdown.)	Web		
Maige	Rubric Labs	Open-source	https://maige.app	https://github.com/RubricLab/maige	Maige is an open-source infrastructure that uses natural language to run customizable workflows on your codebase. It can automate GitHub tasks like labeling, assigning, reviewing code, and executing snippets based on simple text rules.	GitHub (webhooks, API, web dashboard)	2026-08-20	Alpha
Sweep	Sweep AI	Proprietary	https://sweep.dev/	https://github.com/sweepai	Sweep AI is a fast coding assistant built specifically for JetBrains IDEs that uses custom LLMs to provide an AI agent and instant, precise autocomplete suggestions. It is privacy-first, ensuring no code is retained by third parties and offering SOC 2 compliance.	JetBrains IDEs (IntelliJ IDEA, PyCharm, Android Studio, WebStorm, PhpStorm, Rider)		1.27
Cody	Sourcegraph	Proprietary	https://sourcegraph.com/cody		Cody is an AI coding assistant that leverages Sourcegraph's advanced Search API to pull extensive context from both local and remote codebases. This enables highly accurate, context-aware chat, code completions, and debugging assistance across your entire codebase.	VS Code; JetBrains; Visual Studio; Web app; CLI		
EvoNinja	AgentCoin.org	Open-source	https://github.com/agentcoinorg/evo.ninja	https://github.com/agentcoinorg/evo.ninja	EvoNinja is an adaptive AI agent that selects and adopts specialized agent personas in real-time based on the task at hand, including Synthesizer, CSV Analyst, Researcher, and Developer. It runs through a continuous 4-step execution loop until the user's goal is achieved.	CLI; Web UI		
GitLab Duo	GitLab Inc.	Open core	https://about.gitlab.com/gitlab-duo/		GitLab Duo Agent Platform offers specialized, customizable AI agents and agentic workflows to automate complex tasks across the entire software development lifecycle. Powered by the GitLab Orbit context graph, it provides enterprise-grade governance and connects code, pipelines, and deployments.	Web (gitlab.com); AWS; Google Cloud; Self-managed		GitLab 18.8
